minRF, DOS
0.005,0.933635803613
0.01,0.886717224028
0.015,0.89997557997
0.02,0.987496947881
0.025,0.999218745716
0.03,0.993749761572
0.035,0.899951148021
0.04,1.0
0.045,1.0
0.05,1.0
0.055,1.0
0.06,1.0
0.065,1.0
0.07,1.0
0.075,1.0
0.08,1.0
0.085,1.0
0.09,1.0
0.095,1.0
