type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.04,0.5,0.05,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.05_cabs120k08.txt,5,513,5.22631001472
cmine_increment,0.04,0.5,0.1,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.1_cabs120k08.txt,12,586,6.7370660305
cmine_increment,0.04,0.5,0.15,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.15_cabs120k08.txt,16,665,9.07702803612
cmine_increment,0.04,0.5,0.2,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.2_cabs120k08.txt,37,752,13.6028680801
cmine_increment,0.04,0.5,0.25,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.25_cabs120k08.txt,53,797,18.8931698799
cmine_increment,0.04,0.5,0.3,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.3_cabs120k08.txt,76,797,24.9047000408
cmine_increment,0.04,0.5,0.35,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.35_cabs120k08.txt,70,761,30.071778059
cmine_increment,0.04,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.4_cabs120k08.txt,45,713,35.8677010536
cmine_increment,0.04,0.5,0.45,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.45_cabs120k08.txt,42,644,39.4452390671
cmine_increment,0.04,0.5,0.5,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.5_cabs120k08.txt,33,536,41.4889409542
cmine_increment,0.04,0.5,0.4,5,../dataset/cabs120k08/increment_5K.txt,./outputs/cabs120k08/cabs120k08_5_0.04_0.5_0.4_test_out.txt,28,625,10.8446750641
cmine_increment,0.04,0.5,0.4,10,../dataset/cabs120k08/increment_10K.txt,./outputs/cabs120k08/cabs120k08_10_0.04_0.5_0.4_test_out.txt,45,673,17.4018001556
cmine_increment,0.04,0.5,0.4,15,../dataset/cabs120k08/increment_15K.txt,./outputs/cabs120k08/cabs120k08_15_0.04_0.5_0.4_test_out.txt,71,693,24.2439339161
cmine_increment,0.04,0.5,0.4,20,../dataset/cabs120k08/increment_20K.txt,./outputs/cabs120k08/cabs120k08_20_0.04_0.5_0.4_test_out.txt,2419,3054,130.817219973
cmine_increment,0.04,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.4_test_out.txt,45,713,34.5359768867
cmine_increment,0.04,0.5,0.4,30,../dataset/cabs120k08/increment_30K.txt,./outputs/cabs120k08/cabs120k08_30_0.04_0.5_0.4_test_out.txt,41,731,40.5249738693
cmine_increment,0.04,0.5,0.4,35,../dataset/cabs120k08/increment_35K.txt,./outputs/cabs120k08/cabs120k08_35_0.04_0.5_0.4_test_out.txt,2390,3095,160.056741953
cmine_increment,0.04,0.5,0.4,40,../dataset/cabs120k08/increment_40K.txt,./outputs/cabs120k08/cabs120k08_40_0.04_0.5_0.4_test_out.txt,2589,3245,176.510390043
cmine_increment,0.04,0.5,0.4,45,../dataset/cabs120k08/increment_45K.txt,./outputs/cabs120k08/cabs120k08_45_0.04_0.5_0.4_test_out.txt,2587,3243,193.59188199
cmine_increment,0.04,0.5,0.4,50,../dataset/cabs120k08/increment_50K.txt,./outputs/cabs120k08/cabs120k08_50_0.04_0.5_0.4_test_out.txt,2585,3241,196.49129796
cmine_increment,0.04,0.5,0.4,55,../dataset/cabs120k08/increment_55K.txt,./outputs/cabs120k08/cabs120k08_55_0.04_0.5_0.4_test_out.txt,2581,3246,206.645260811
