type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_60K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_60K.txt,0.152637004852,3995,139.60737896
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_65K.txt,0.165742874146,3975,151.048068047
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_70K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_70K.txt,0.174854040146,3991,163.501556873
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_75K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_75K.txt,0.185970067978,4011,176.48089695
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_80K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_80K.txt,0.200234174728,4011,188.069791079
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_85K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_85K.txt,0.21200299263,3980,202.025980949
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_90K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_90K.txt,0.227061986923,4008,213.991976023

cmine,0.035,0.5,0.1,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.1_kosarak_65K.txt,0.164883136749,97,2.88852119446
cmine,0.035,0.5,0.2,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.2_kosarak_65K.txt,0.163507938385,132,4.01489782333
cmine,0.035,0.5,0.3,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.3_kosarak_65K.txt,0.161834955215,216,7.00569987297
cmine,0.035,0.5,0.4,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.4_kosarak_65K.txt,0.161972045898,340,11.9501860142
cmine,0.035,0.5,0.5,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.5_kosarak_65K.txt,0.164220094681,558,18.6035151482
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_65K.txt,0.162633895874,840,28.9050848484
cmine,0.035,0.5,0.7,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.7_kosarak_65K.txt,0.162440061569,1249,43.2351770401
cmine,0.035,0.5,0.8,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.8_kosarak_65K.txt,0.162575960159,1905,66.1918780804
cmine,0.035,0.5,0.9,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.9_kosarak_65K.txt,0.163094043732,3693,125.182868004
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_50K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_50K.txt,0.130672216415,1478,40.6749351025
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_55K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_55K.txt,0.141026973724,841,24.1290099621
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_60K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_60K.txt,0.152436971664,840,26.3834588528
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_65K.txt,0.164911031723,840,29.0804960728
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_70K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_70K.txt,0.175083875656,840,30.794618845
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_75K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_75K.txt,0.184915065765,840,34.2861959934
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_80K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_80K.txt,0.201691865921,838,35.7449967861
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_85K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_85K.txt,0.214478969574,1506,70.3587629795
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_90K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_90K.txt,0.222064971924,1512,74.3402900696

cmine,0.04,0.5,0.1,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.1_kosarak_65K.txt,0.163875102997,97,2.85856199265
cmine,0.04,0.5,0.2,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.2_kosarak_65K.txt,0.163101911545,132,4.02273488045
cmine,0.04,0.5,0.3,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.3_kosarak_65K.txt,0.162014961243,216,6.99281215668
cmine,0.04,0.5,0.4,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.4_kosarak_65K.txt,0.165045976639,340,11.2791309357
cmine,0.04,0.5,0.5,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.5_kosarak_65K.txt,0.1645860672,558,19.0626060963
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_65K.txt,0.16169500351,840,28.8441019058
cmine,0.04,0.5,0.7,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.7_kosarak_65K.txt,0.164566993713,1249,43.355768919
cmine,0.04,0.5,0.8,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.8_kosarak_65K.txt,0.162834882736,1905,65.5598008633
cmine,0.04,0.5,0.9,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.9_kosarak_65K.txt,0.162756919861,3693,126.409020901
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_50K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_50K.txt,0.131678819656,827,21.7936098576
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_55K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_55K.txt,0.140816926956,841,24.2373130322
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_60K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_60K.txt,0.151697158813,840,26.6389331818
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_65K.txt,0.16379404068,840,29.0239109993
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_70K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_70K.txt,0.173457145691,840,31.1292970181
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_75K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_75K.txt,0.186788797379,840,33.0590789318
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_80K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_80K.txt,0.20273900032,838,36.4366900921
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_85K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_85K.txt,0.210602998734,834,37.5587151051
cmine,0.04,0.5,0.6,./../dataset/kosarak/kosarak_90K.txt,././outputs/kosarak/kosarak_0.04_0.5_0.6_kosarak_90K.txt,0.223638772964,839,39.5625739098

cmine,0.045,0.5,0.1,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.1_kosarak_65K.txt,0.163425922394,62,1.94175195694
