type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.8L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.8L.txt,0.57147693634,12183,1316.80199695
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.85L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.85L.txt,0.436695098877,12416,1400.69131613
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.9L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.9L.txt,0.410192012787,12487,1419.07186198
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_1.95L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_1.95L.txt,0.416878938675,12394,1470.56914496
cmine,0.075,0.5,0.7,./../dataset/bmspos/bmspos_2.0L.txt,././outputs/bmspos_0.075_0.5_0.7_bmspos_new_2.0L.txt,0.434010982513,12379,1498.194628
,,,,,,,,
cmine,0.08,0.1,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.1_0.7_bmspos_new_1.25L.txt,0.240181922913,11437,875.145054817
cmine,0.08,0.2,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.2_0.7_bmspos_new_1.25L.txt,0.243192911148,11437,843.682897806
cmine,0.08,0.3,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.3_0.7_bmspos_new_1.25L.txt,0.237153053284,11437,849.261373043
cmine,0.08,0.4,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.4_0.7_bmspos_new_1.25L.txt,0.235148906708,11437,873.191548109
cmine,0.08,0.5,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.5_0.7_bmspos_new_1.25L.txt,0.226854085922,11437,876.833176136
cmine,0.08,0.6,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.6_0.7_bmspos_new_1.25L.txt,0.238876819611,11437,853.636452913
cmine,0.08,0.7,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.7_0.7_bmspos_new_1.25L.txt,0.239151954651,11437,846.272215128
cmine,0.08,0.8,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.8_0.7_bmspos_new_1.25L.txt,0.227205991745,11437,828.551177979
cmine,0.08,0.9,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.9_0.7_bmspos_new_1.25L.txt,0.243350028992,11437,878.64785099
cmine,0.08,0.5,0.1,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.5_0.1_bmspos_new_1.25L.txt,0.234780073166,120,6.35296702385
cmine,0.08,0.5,0.2,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.5_0.2_bmspos_new_1.25L.txt,0.234109163284,156,8.68068909645
cmine,0.08,0.5,0.3,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.5_0.3_bmspos_new_1.25L.txt,0.236301898956,281,16.0105969906
cmine,0.08,0.5,0.4,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.5_0.4_bmspos_new_1.25L.txt,0.23764705658,722,44.7286670208
cmine,0.08,0.5,0.5,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.5_0.5_bmspos_new_1.25L.txt,0.234988927841,1657,111.936807871
cmine,0.08,0.5,0.6,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.5_0.6_bmspos_new_1.25L.txt,0.235207080841,4353,307.568814993
cmine,0.08,0.5,0.7,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.5_0.7_bmspos_new_1.25L.txt,0.235092163086,11437,886.127952099
cmine,0.08,0.5,0.8,./../dataset/bmspos/bmspos_1.25L.txt,././outputs/bmspos_0.08_0.5_0.8_bmspos_new_1.25L.txt,0.234051942825,24116,1944.09338999
