type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.035,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.035_0.5_0.4_test_out.txt,4691,5739,400.295854
cmine_increment,0.04,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.04_0.5_0.4_test_out.txt,45,713,32.874896
cmine_increment,0.045,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.045_0.5_0.4_test_out.txt,8,479,10.869887
cmine_increment,0.05,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.05_0.5_0.4_test_out.txt,8,479,10.806669
cmine_increment,0.055,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.055_0.5_0.4_test_out.txt,1,460,5.362018
cmine_increment,0.06,0.5,0.4,25,../dataset/cabs120k08/increment_25K.txt,./outputs/cabs120k08/cabs120k08_25_0.06_0.5_0.4_test_out.txt,1,461,4.465927
