type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_125K.txt,0.2981469631,4073,300.087516069
cmine,0.03,0.5,0.7,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.7_kosarak_125K.txt,0.296325922,6965,526.180026054
cmine,0.03,0.5,0.8,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.8_kosarak_125K.txt,0.2967691422,11898,910.063215017
cmine,0.03,0.5,0.9,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.9_kosarak_125K.txt,0.2954978943,25005,1835.21110392
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_105K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_105K.txt,0.3052830696,4048,253.734313965
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_110K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_110K.txt,0.3371109962,4054,273.355721951
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_115K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_115K.txt,0.3203439713,4077,282.040214062
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_120K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_120K.txt,0.3462841511,4092,294.249154091
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_125K.txt,0.302986145,4073,307.057491064
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_130K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_130K.txt,0.3870618343,4056,312.978173018
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_135K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_135K.txt,0.3562150002,4063,333.278759003
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_140K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_140K.txt,0.3959319592,4069,339.286547899
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_145K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_145K.txt,0.3803219795,4064,355.209626913
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_150K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_150K.txt,0.3585259914,4076,380.354191065
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_155K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_155K.txt,0.3705320358,4094,392.480638981
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_160K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_160K.txt,0.3786859512,4079,409.485440016
