type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.03,0.5,0.5,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.03_0.5_0.5_kosarak.txt,48,14833,167.905500889
cmine_increment,0.03,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.03_0.5_0.6_kosarak.txt,69,14890,189.672284126
cmine_increment,0.03,0.5,0.7,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.03_0.5_0.7_kosarak.txt,157,15021,210.043533087
cmine_increment,0.03,0.5,0.8,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.03_0.5_0.8_kosarak.txt,35,14814,257.712220192
cmine_increment,0.03,0.5,0.9,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.03_0.5_0.9_kosarak.txt,419,15147,427.705252171
cmine_increment,0.03,0.5,0.6,5,../dataset/kosarak/kosarak_increment_5K.txt,./outputs/kosarak/kosarak_5_0.03_0.5_0.6_test_out.txt,43,7229,85.1605889797
cmine_increment,0.03,0.5,0.6,10,../dataset/kosarak/kosarak_increment_10K.txt,./outputs/kosarak/kosarak_10_0.03_0.5_0.6_test_out.txt,86,10137,115.182668924
cmine_increment,0.03,0.5,0.6,15,../dataset/kosarak/kosarak_increment_15K.txt,./outputs/kosarak/kosarak_15_0.03_0.5_0.6_test_out.txt,108,12366,145.575905085
cmine_increment,0.03,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.03_0.5_0.6_test_out.txt,122,13729,164.680003881
cmine_increment,0.03,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.03_0.5_0.6_test_out.txt,69,14890,181.160525084
cmine_increment,0.03,0.5,0.6,30,../dataset/kosarak/kosarak_increment_30K.txt,./outputs/kosarak/kosarak_30_0.03_0.5_0.6_test_out.txt,51,15962,203.7575109
cmine_increment,0.03,0.5,0.6,35,../dataset/kosarak/kosarak_increment_35K.txt,./outputs/kosarak/kosarak_35_0.03_0.5_0.6_test_out.txt,68,16909,229.30832386
cmine_increment,0.03,0.5,0.6,40,../dataset/kosarak/kosarak_increment_40K.txt,./outputs/kosarak/kosarak_40_0.03_0.5_0.6_test_out.txt,55,17786,244.212374926
cmine_increment,0.03,0.5,0.6,45,../dataset/kosarak/kosarak_increment_45K.txt,./outputs/kosarak/kosarak_45_0.03_0.5_0.6_test_out.txt,569,19027,292.36303997
cmine_increment,0.03,0.5,0.6,50,../dataset/kosarak/kosarak_increment_50K.txt,./outputs/kosarak/kosarak_50_0.03_0.5_0.6_test_out.txt,567,19754,310.849412203
cmine_increment,0.03,0.5,0.6,55,../dataset/kosarak/kosarak_increment_55K.txt,./outputs/kosarak/kosarak_55_0.03_0.5_0.6_test_out.txt,591,20328,335.757447004
cmine_increment,0.03,0.5,0.6,60,../dataset/kosarak/kosarak_increment_60K.txt,./outputs/kosarak/kosarak_60_0.03_0.5_0.6_test_out.txt,581,20889,350.02055192
cmine_increment,0.03,0.5,0.6,65,../dataset/kosarak/kosarak_increment_65K.txt,./outputs/kosarak/kosarak_65_0.03_0.5_0.6_test_out.txt,564,21402,381.694262028
cmine_increment,0.03,0.5,0.6,70,../dataset/kosarak/kosarak_increment_70K.txt,./outputs/kosarak/kosarak_70_0.03_0.5_0.6_test_out.txt,548,21939,406.114094973
cmine_increment,0.03,0.5,0.6,75,../dataset/kosarak/kosarak_increment_75K.txt,./outputs/kosarak/kosarak_75_0.03_0.5_0.6_test_out.txt,551,22843,531.720670938
cmine_increment,0.03,0.5,0.6,80,../dataset/kosarak/kosarak_increment_80K.txt,./outputs/kosarak/kosarak_80_0.03_0.5_0.6_test_out.txt,557,23261,548.592359066
cmine_increment,0.03,0.5,0.6,85,../dataset/kosarak/kosarak_increment_85K.txt,./outputs/kosarak/kosarak_85_0.03_0.5_0.6_test_out.txt,552,23636,574.695437908
cmine_increment,0.03,0.5,0.6,90,../dataset/kosarak/kosarak_increment_90K.txt,./outputs/kosarak/kosarak_90_0.03_0.5_0.6_test_out.txt,551,23974,589.779830933
cmine_increment,0.03,0.5,0.6,95,../dataset/kosarak/kosarak_increment_95K.txt,./outputs/kosarak/kosarak_95_0.03_0.5_0.6_test_out.txt,555,24426,611.36427021
cmine_increment,0.03,0.5,0.6,100,../dataset/kosarak/kosarak_increment_100K.txt,./outputs/kosarak/kosarak_100_0.03_0.5_0.6_test_out.txt,554,24761,629.838924885
,,,,,,,,,
cmine_increment,0.035,0.5,0.1,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.1_kosarak.txt,0,14583,142.72488904
cmine_increment,0.035,0.5,0.2,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.2_kosarak.txt,2,14581,145.767668009
cmine_increment,0.035,0.5,0.3,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.3_kosarak.txt,4,14586,146.058104992
cmine_increment,0.035,0.5,0.4,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.4_kosarak.txt,2,14577,146.742619038
cmine_increment,0.035,0.5,0.5,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.5_kosarak.txt,14,14620,148.382631063
cmine_increment,0.035,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.6_kosarak.txt,12,14600,150.378777027
cmine_increment,0.035,0.5,0.7,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.7_kosarak.txt,49,14613,154.766963005
cmine_increment,0.035,0.5,0.8,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.8_kosarak.txt,6,14545,159.808971167
cmine_increment,0.035,0.5,0.9,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.9_kosarak.txt,91,14635,185.033856869
cmine_increment,0.035,0.5,0.6,5,../dataset/kosarak/kosarak_increment_5K.txt,./outputs/kosarak/kosarak_5_0.035_0.5_0.6_test_out.txt,33,7042,81.8510940075
